bit_length,semiprime,lattice_dimension,precision_parameter,babais_approximation_distance,refined_approximation_distance,enum_distance,iterations
20,572149,7,4,78,73,73,0
20,867989,7,4,62,55,55,0
20,870913,7,4,73,64,64,1
20,821749,7,4,71,68,68,2
20,568291,7,4,97,65,65,4
20,582599,7,4,83,72,72,1
20,622121,7,4,103,92,92,1
20,974153,7,4,49,47,47,1
20,596867,7,4,65,63,63,1
20,846551,7,4,124,88,88,17
20,717583,7,4,72,71,71,20
20,594851,7,4,79,74,74,0
20,860677,7,4,95,88,88,2
20,648103,7,4,119,118,118,0
20,585209,7,4,89,67,67,2
20,574069,7,4,76,68,68,1
20,690077,7,4,92,86,86,2
20,886139,7,4,92,87,87,10
20,560401,7,4,100,97,97,1
20,975703,7,4,87,82,82,10
20,804509,7,4,85,56,56,0
20,544967,7,4,78,74,74,8
20,804509,7,4,75,51,51,2
20,658627,7,4,93,83,83,3
20,658523,7,4,58,55,55,2
20,621497,7,4,93,87,87,4
20,648103,7,4,79,68,68,1
20,525647,7,4,77,74,74,2
20,784639,7,4,121,95,95,1
20,631451,7,4,79,71,71,1
20,593729,7,4,69,67,67,8
20,949469,7,4,82,75,75,1
20,896773,7,4,78,71,71,4
20,539069,7,4,88,80,80,3
20,799067,7,4,80,73,73,15
20,610381,7,4,90,86,86,4
20,610381,7,4,65,61,61,8
20,795439,7,4,69,65,65,0
20,750187,7,4,90,83,83,2
20,916243,7,4,87,79,79,2
20,562013,7,4,82,79,79,46
20,919537,7,4,89,88,88,1
20,636179,7,4,70,64,64,15
20,532799,7,4,98,90,90,1
20,726403,7,4,90,86,86,1
20,858929,7,4,70,60,60,3
20,944159,7,4,84,78,78,0
20,904279,7,4,71,63,63,1
20,975703,7,4,94,90,90,0
20,561263,7,4,87,70,70,2
20,682817,7,4,91,59,59,1
20,593771,7,4,90,63,63,2
20,979571,7,4,97,96,96,0
20,794083,7,4,79,75,75,0
20,587761,7,4,97,91,91,1
20,580579,7,4,89,88,88,0
20,540031,7,4,81,67,67,0
20,756851,7,4,84,74,74,1
20,581387,7,4,96,79,79,3
20,818299,7,4,84,81,81,0
20,613621,7,4,80,59,59,0
20,644773,7,4,98,82,82,0
20,652133,7,4,79,75,75,2
20,636679,7,4,88,84,84,0
20,538243,7,4,56,53,53,1
20,652823,7,4,82,77,77,6
20,592171,7,4,82,52,52,0
20,619481,7,4,70,63,63,0
20,698897,7,4,102,72,72,3
20,716957,7,4,76,63,63,24
20,536381,7,4,61,52,52,1
20,795841,7,4,69,57,57,2
20,592271,7,4,58,54,54,0
20,657521,7,4,102,78,78,14
20,555329,7,4,79,66,66,5
20,746699,7,4,76,71,71,2
20,625649,7,4,67,62,62,24
20,697483,7,4,74,62,62,0
20,848059,7,4,83,80,80,2
20,550897,7,4,84,70,70,5
20,680957,7,4,111,103,103,1
20,554881,7,4,75,68,68,1
20,941077,7,4,66,62,62,1
20,585209,7,4,131,126,126,2
20,754729,7,4,78,74,74,1
20,577519,7,4,75,70,70,1
20,770141,7,4,74,72,72,0
20,732727,7,4,87,86,86,3
20,637757,7,4,86,74,74,0
20,660761,7,4,74,59,59,15
20,635231,7,4,83,82,82,18
20,659119,7,4,78,66,66,4
20,659389,7,4,87,71,71,3
20,722879,7,4,65,59,59,5
20,620131,7,4,72,67,67,0
20,624571,7,4,116,66,66,0
20,626257,7,4,93,90,90,14
20,616081,7,4,91,80,80,2
20,679027,7,4,76,74,74,8
20,572149,7,4,101,91,91,0
30,739895083,10,4,74,71,71,4
30,669670021,10,4,116,103,103,0
30,574144069,10,4,68,67,67,1
30,802338767,10,4,92,79,79,0
30,599935129,10,4,89,79,79,1
30,988683049,10,4,104,90,90,5
30,785130391,10,4,81,70,70,3
30,960339473,10,4,94,88,88,0
30,591768277,10,4,74,68,68,5
30,698245259,10,4,87,78,78,3
30,826915079,10,4,119,107,109,4
30,629513711,10,4,89,72,72,7
30,702419077,10,4,88,78,78,2
30,726334529,10,4,75,63,63,8
30,739019153,10,4,85,65,65,1
30,752550943,10,4,74,70,70,4
30,556998691,10,4,105,90,90,1
30,552658039,10,4,91,85,85,8
30,792891149,10,4,89,86,86,1
30,945549043,10,4,108,82,82,3
30,577771871,10,4,86,85,85,3
30,641040151,10,4,93,86,86,2
30,656292383,10,4,88,70,70,1
30,545062127,10,4,84,66,66,1
30,601630517,10,4,91,78,78,1
30,631287263,10,4,76,61,61,2
30,729885007,10,4,87,78,78,2
30,866065883,10,4,79,77,77,0
30,825717439,10,4,83,77,77,5
30,934687241,10,4,72,71,71,2
30,691352003,10,4,96,85,85,6
30,554493689,10,4,87,66,66,1
30,683411299,10,4,99,80,80,1
30,766783103,10,4,96,94,94,1
30,873869287,10,4,110,96,96,1
30,865895761,10,4,83,63,63,1
30,776666179,10,4,112,103,103,1
30,581081197,10,4,87,60,60,4
30,807064331,10,4,73,72,72,1
30,845877547,10,4,94,93,93,1
30,543218129,10,4,87,81,81,2
30,849291181,10,4,79,70,70,1
30,692331203,10,4,89,82,82,1
30,725902273,10,4,93,84,84,1
30,652601143,10,4,81,74,74,6
30,637130509,10,4,79,65,65,11
30,845831099,10,4,79,72,72,2
30,607425769,10,4,91,89,89,2
30,567324803,10,4,78,68,68,8
30,938047661,10,4,70,66,66,0
30,902081207,10,4,74,54,54,1
30,779995787,10,4,100,90,90,4
30,889295873,10,4,94,91,91,3
30,945780427,10,4,86,84,84,6
30,543758431,10,4,82,68,68,1
30,788416949,10,4,91,81,81,0
30,764383343,10,4,76,70,70,12
30,726157511,10,4,75,73,73,0
30,577895749,10,4,76,62,62,0
30,775711949,10,4,88,71,71,10
30,551694769,10,4,76,75,75,2
30,677902619,10,4,86,70,70,6
30,914336419,10,4,88,79,79,11
30,743162489,10,4,112,98,98,2
30,585794917,10,4,87,84,84,0
30,558047251,10,4,90,80,80,14
30,579748033,10,4,106,102,102,1
30,675218417,10,4,76,65,65,22
30,769659973,10,4,74,65,65,10
30,667052377,10,4,94,63,63,4
30,827132239,10,4,81,80,80,0
30,621885553,10,4,71,66,66,2
30,913356133,10,4,71,63,63,4
30,674574451,10,4,88,74,74,1
30,957205759,10,4,83,73,73,1
30,612521461,10,4,92,89,89,4
30,561750517,10,4,83,71,71,1
30,661122269,10,4,91,90,90,2
30,721149893,10,4,74,71,71,0
30,655443913,10,4,73,62,62,2
30,706297979,10,4,80,75,75,4
30,616863613,10,4,88,60,60,1
30,677928029,10,4,110,103,103,0
30,653784067,10,4,97,95,95,26
30,886606817,10,4,79,68,68,6
30,608564951,10,4,84,68,68,4
30,711763279,10,4,87,73,73,17
30,841458071,10,4,87,78,78,2
30,757134229,10,4,110,106,106,3
30,552613871,10,4,87,72,72,3
30,809772949,10,4,102,92,92,2
30,608304857,10,4,71,56,56,13
30,621121841,10,4,86,79,79,0
30,683693201,10,4,103,102,102,4
30,1026927877,10,4,94,90,90,11
30,809324833,10,4,89,75,75,2
30,698693537,10,4,84,82,82,3
30,717426007,10,4,80,79,79,6
30,783247379,10,4,101,95,95,0
30,715817273,10,4,111,87,87,2
40,5.75858E+11,14,4,78,72,72,1
40,8.52442E+11,14,4,110,96,96,1
40,8.93982E+11,14,4,114,99,99,21
40,6.07127E+11,14,4,77,71,71,3
40,9.55839E+11,14,4,88,83,83,1
40,6.63815E+11,14,4,87,86,86,11
40,7.50589E+11,14,4,124,114,114,1
40,5.97388E+11,14,4,108,83,83,10
40,7.99036E+11,14,4,112,105,105,2
40,6.9712E+11,14,4,105,91,91,11
40,8.86038E+11,14,4,101,94,94,9
40,6.55396E+11,14,4,119,111,111,7
40,8.084E+11,14,4,89,78,78,5
40,6.90501E+11,14,4,76,75,75,0
40,1.03093E+12,14,4,130,122,122,11
40,6.83088E+11,14,4,86,73,73,3
40,9.82184E+11,14,4,116,114,114,4
40,5.71872E+11,14,4,96,87,87,1
40,6.07483E+11,14,4,113,102,102,6
40,8.12872E+11,14,4,107,90,90,3
40,9.02819E+11,14,4,92,80,80,3
40,7.95003E+11,14,4,92,61,61,1
40,7.07121E+11,14,4,114,101,101,1
40,8.35125E+11,14,4,120,107,107,1
40,5.57242E+11,14,4,87,75,75,26
40,9.78484E+11,14,4,93,84,84,38
40,6.37708E+11,14,4,95,94,94,5
40,1.00764E+12,14,4,90,59,59,4
40,7.43599E+11,14,4,115,79,79,7
40,8.48647E+11,14,4,97,93,93,2
40,6.35565E+11,14,4,89,75,75,13
40,8.14322E+11,14,4,92,78,78,2
40,6.68308E+11,14,4,91,87,87,18
40,6.02579E+11,14,4,107,102,102,9
40,7.54925E+11,14,4,118,115,115,7
40,7.96622E+11,14,4,81,76,76,2
40,5.76023E+11,14,4,94,88,88,2
40,5.60202E+11,14,4,106,86,86,24
40,8.40417E+11,14,4,127,115,115,3
40,7.92775E+11,14,4,108,107,107,5
40,6.38737E+11,14,4,116,103,103,1
40,7.64682E+11,14,4,98,96,96,59
40,5.93444E+11,14,4,103,102,102,5
40,8.16954E+11,14,4,108,99,99,3
40,5.52021E+11,14,4,105,89,89,3
40,7.12315E+11,14,4,95,88,88,13
40,8.68305E+11,14,4,112,97,97,62
40,8.97745E+11,14,4,98,87,87,1
40,6.71072E+11,14,4,120,115,115,2
40,9.82061E+11,14,4,99,94,94,2
40,6.93161E+11,14,4,107,94,94,11
40,7.02196E+11,14,4,87,75,75,11
40,6.59886E+11,14,4,87,84,84,5
40,6.40512E+11,14,4,123,118,118,4
40,7.02829E+11,14,4,108,102,102,1
40,8.41824E+11,14,4,84,73,73,1
40,7.9142E+11,14,4,100,79,79,4
40,5.88034E+11,14,4,80,72,72,3
40,9.22536E+11,14,4,91,82,82,8
40,6.27638E+11,14,4,118,115,115,4
40,6.36345E+11,14,4,96,70,70,8
40,1.00922E+12,14,4,112,92,92,4
40,9.74976E+11,14,4,99,91,91,2
40,7.20877E+11,14,4,102,94,94,0
40,7.6185E+11,14,4,115,111,111,7
40,8.19807E+11,14,4,93,82,82,8
40,9.24298E+11,14,4,79,74,74,8
40,7.01404E+11,14,4,107,95,95,1
40,8.17895E+11,14,4,113,104,104,16
40,7.25809E+11,14,4,80,69,69,1
40,5.69159E+11,14,4,88,85,85,3
40,7.64269E+11,14,4,99,98,98,9
40,5.6305E+11,14,4,98,70,70,4
40,7.16309E+11,14,4,87,83,83,7
40,6.40039E+11,14,4,121,114,114,4
40,8.06499E+11,14,4,107,90,90,5
40,7.72652E+11,14,4,85,81,81,1
40,8.09715E+11,14,4,107,78,78,9
40,5.98679E+11,14,4,98,87,87,1
40,6.34254E+11,14,4,111,106,106,2
40,8.11068E+11,14,4,94,87,87,2
40,6.27215E+11,14,4,87,78,78,3
40,6.2171E+11,14,4,106,101,101,9
40,6.36916E+11,14,4,112,103,103,3
40,6.20282E+11,14,4,86,84,84,4
40,8.07958E+11,14,4,139,125,125,7
40,5.88397E+11,14,4,91,70,70,6
40,6.90647E+11,14,4,111,101,101,5
40,8.65276E+11,14,4,78,61,61,1
40,5.5756E+11,14,4,82,66,66,18
40,5.99477E+11,14,4,106,105,105,2
40,6.65333E+11,14,4,110,98,98,2
40,7.20041E+11,14,4,99,85,85,23
40,8.8744E+11,14,4,114,104,104,1
40,5.84748E+11,14,4,125,119,119,4
40,5.777E+11,14,4,101,77,77,4
40,6.24403E+11,14,4,100,90,90,3
40,9.60873E+11,14,4,95,91,91,1
40,8.94574E+11,14,4,80,76,76,7
40,9.68179E+11,14,4,86,79,79,6
50,7.90395E+14,17,4,147,139,139,1
50,7.98628E+14,17,4,112,101,101,4
50,7.91751E+14,17,4,116,109,109,5
50,6.55137E+14,17,4,113,87,87,6
50,9.315E+14,17,4,108,88,88,6
50,7.05927E+14,17,4,106,104,104,7
50,6.94646E+14,17,4,79,75,75,1
50,7.17088E+14,17,4,108,95,95,2
50,5.68274E+14,17,4,109,106,106,5
50,5.89011E+14,17,4,75,69,69,4
50,6.98446E+14,17,4,110,93,93,4
50,6.19125E+14,17,4,101,99,99,2
50,7.30767E+14,17,4,106,105,105,13
50,6.13791E+14,17,4,100,91,91,3
50,7.07557E+14,17,4,124,107,107,11
50,7.34797E+14,17,4,107,98,98,2
50,7.76375E+14,17,4,104,103,103,8
50,5.70905E+14,17,4,107,88,88,2
50,8.28511E+14,17,4,88,83,83,1
