lattice_id,u,s,smoothness_value,smoothness_index,cost
0,622545,424,53,15,81
0,8732691,22997,61,17,954
1,2811072,437,23,8,106
1,4492125,-4891,73,20,211
1,1684375,-2006,59,16,265
1,2809856,-779,41,12,332
3,3301375,-2581,89,23,156
3,826686,697,41,12,159
4,14907200,3551,67,18,122
4,1071794405,-1268323,83,22,399
5,2223375,-589,31,10,78
5,556875,884,17,6,277
5,12252303,20501,83,22,630
5,71177645,10797,61,17,541
5,208422380089,-74244911,83,22,436
7,588245,106,53,15,46
7,586971,-1168,73,20,456
7,588060,-79,79,21,138
8,546875,102,17,6,59
8,546875,102,17,6,59
8,1639792,-527,31,10,118
8,1639792,-527,31,10,118
8,546750,-23,23,8,215
8,546750,-23,23,8,215
10,2893401,1885,29,9,156
11,838530,289,17,6,58
11,214358881,-230815,67,18,369
11,203809375,116812,53,15,318
12,39204000,18259,31,10,130
14,1630475,1886,41,12,159
15,1830125,-201,67,18,81
15,18302823,-437,23,8,262
15,914760,-403,31,10,120
15,110716875,-17848,97,24,178
16,1178793,-65,13,5,76
17,698775,-194,97,24,66
18,2112880,79,79,21,98
19,664048,159,53,15,56
20,13528284,559,43,13,130
20,2165625,1189,41,12,161
20,53593750,23959,97,24,247
20,2599609375,1203957,61,17,381
20,13522432,-5293,79,21,181
21,1452605,171,19,7,46
21,58824500,923,71,19,128
22,643125,136,17,6,29
23,3415104,-41,41,12,105
24,6559168,1885,29,9,185
24,455393664,26789,89,23,332
24,729000,413,59,16,193
24,2910897,-3451,29,9,365
25,9408000,3649,89,23,138
25,9411920,7569,29,9,370
26,771750000,104081,97,24,257
28,386683451,129076,61,17,157
28,6806835,3478,47,14,110
29,12400927,2185,23,8,86
30,2112880,493,29,9,94
32,717409,-174,29,9,56
32,718740,1157,89,23,263
34,705600,361,19,7,105
34,34560000,3289,23,8,318
34,85349376,15457,41,12,381
36,580800,289,17,6,337
37,4743684,-1763,43,13,77
37,2033647,-116,29,9,106
37,679140,1219,53,15,322
38,136410197,42389,97,24,278
39,67528125,32752,89,23,113
39,17827425,-22591,41,12,474
39,191328588,-1271,41,12,145
42,689920,-249,83,22,140
42,4096000000,3987999,79,21,489
44,19253619,-3757,17,6,157
44,601425,-368,23,8,153
44,6613488,-6235,43,13,338
45,1660120,-41,41,12,130
47,2881494,2479,67,18,131
47,4026275,-4346,53,15,229
47,576240,437,23,8,235
47,420175000,414613,29,9,291
48,1734656,335,67,18,510
50,573440,-629,37,11,525
51,1897280,3233,61,17,280
53,694575,-116,29,9,118
53,5557167,-361,19,7,282
54,4599936,2077,67,18,99
55,2869636,-2059,71,19,109
56,70306082,-1027,79,21,100
56,70306082,-1027,79,21,100
56,105019740,-6929,41,12,151
56,105019740,-6929,41,12,151
56,4348377,8432,31,10,443
56,4348377,8432,31,10,443
58,8748000,-1829,59,16,155
58,38972340,-4171,97,24,163
58,793881,-1558,41,12,500
59,3189375,451,41,12,177
60,623700,689,53,15,175
60,79734375,-11033,59,16,339
60,16807000,-14297,29,9,227
62,2722734,3649,89,23,198
62,1630475,-976,61,17,106
63,745360,713,31,10,106
63,8203125,12008,79,21,202
63,2240000,6059,83,22,551
64,44289025,-98039,79,21,686
64,3383015625,-265031,37,11,386
65,37202781,-9269,31,10,82
65,20087452,-7055,83,22,108
65,743424,-817,43,13,385
67,814968,235,47,14,91
68,2268945,-731,43,13,70
68,3969405,-2528,79,21,169
69,668250,53,53,15,123
70,714420,611,47,14,113
70,6442040,17759,59,16,750
72,784080,469,67,18,126
73,691488,1261,97,24,345
73,168070000,344839,47,14,547
75,15054336,27761,71,19,354
76,18302823,-437,23,8,133
76,175765205,53909,47,14,259
78,801900,-53,53,15,98
78,2406250,391,23,8,160
78,129696875,-219511,97,24,489
81,25874640,-26809,83,22,271
83,750000,-89,89,23,81
83,3748096,-2349,29,9,210
83,36753750,-611,47,14,173
83,8257536,6557,83,22,318
85,559020,-43,43,13,58
87,47265625,3844,31,10,101
87,750000,-187,17,6,233
89,540225,2,2,0,37
89,196000000,-100949,59,16,457
90,27064125,16762,29,9,195
90,14907200,3551,67,18,203
90,3872000,8091,31,10,601
91,1000000,81,3,1,88
91,124895232,-94643,71,19,415
94,826875,598,23,8,93
94,200120949,161915,53,15,358
95,2737152,-2183,59,16,307
97,633864,85,17,6,79
98,2268945,-731,43,13,85
99,698775,608,19,7,109
99,700000,1833,47,14,738
100,218791125,-114034,67,18,209
100,975110565,-12416,97,24,146
100,974709450,-413531,163,37,179
100,139106682,-196601,89,23,334
100,19864845,-35624,73,20,474
100,437240349,-569969,181,41,478
100,99379467,-122878,131,31,354
100,1810317675,-625004,103,26,91
100,2920645849,-4723094,179,40,378
102,27769500,1349,71,19,122
102,3359381662,-564609,67,18,118
102,249894832,-18527,191,42,191
103,27647048,3721,61,17,165
104,22943778,25625,41,12,159
104,573144572,190747,61,17,165
104,22907500,-10653,67,18,226
104,48702217707,1142582,131,31,194
104,160398576,-28495,139,33,230
105,24078600,5797,31,10,95
105,3010375368,1274993,199,45,151
106,21156245,4872,29,9,93
107,248893736,5547,43,13,83
107,22639104,12905,89,23,199
107,12195402336,-118925,71,19,290
108,15155066381,10252490,211,46,450
109,54071875,26896,41,12,192
110,20207880,-527,31,10,143
111,96550276,-50141,29,9,98
111,193203725,2891,59,16,76
111,23487441536,13540205,83,22,426
111,870963808,1560055,53,15,447
113,17638775,4264,41,12,162
114,275403128,59363,89,23,72
114,46525874176,-7222109,127,30,396
114,937164800,995999,89,23,391
114,459762688,856413,109,28,401
115,889331608,-259647,71,19,97
116,208289151,-17992,173,39,73
116,189431697,61567,193,43,85
116,94732092,47027,41,12,127
116,56807660,-3379,109,28,144
116,1609990668,344563,211,46,210
116,93095177175,57632306,149,34,256
117,85050966,1081,47,14,65
117,10631889216,653591,181,41,436
117,765302923,-146042,137,32,169
118,52749970,-17081,31,10,117
118,31010762653,-16263335,197,44,269
119,23005125,44588,157,36,429
119,6636862375,1267182,113,29,101
119,390971529,642400,73,20,465
120,10399116189,109181,101,25,290
121,913979066,179783,113,29,66
121,17920584,2951,227,48,117
121,1578597475,1845771,223,47,296
121,394636725,448799,79,21,247
121,35830509,-4757,71,19,98
121,143380125,39061,67,18,250
121,860634775,588391,127,30,290
121,1182740881,177103,197,44,163
122,198982875,151264,163,37,115
122,18099900,24299,47,14,225
122,90481248,103243,43,13,295
123,328311225,-4189,71,19,208
123,46921875,19673,191,42,172
124,57972915,-667,29,9,138
124,231885423,-8905,137,32,508
124,318809925,-44776,193,43,298
125,24532992,4171,97,24,209
125,269901450,84419,71,19,155
125,613224612,4087,67,18,168
125,2970344000,2356659,211,46,159
125,24525696,-3125,5,2,131
126,4096621529,287180,173,39,150
126,4094715625,-1618724,59,16,418
127,410338673,-844,211,46,68
127,878479238,-819727,163,37,271
127,7732176725,-5654167,211,46,246
129,20081250,1517,41,12,67
129,40146435,-13031,157,36,121
129,341796875,441414,179,40,215
129,10850668829,7613009,83,22,268
129,1769782365,2765861,181,41,459
130,17328168,395,79,21,178
130,19132550976,-14638189,43,13,555
131,473899888,35011,223,47,137
131,227870720,-286443,103,26,847
132,1457171235,492704,173,39,141
132,1040020254,-464411,211,46,183
132,245939085,6346,167,38,139
133,43966923,11881,109,28,67
133,285719000,11227,109,28,207
133,22000363,22842,47,14,254
133,175765205,-54963,197,44,166
134,17773437500,24181421,173,39,251
135,7169930625,6468578,181,41,223
136,4260587175,1676849,227,48,295
136,21294351351,-200279,127,30,294
136,6652963772091,-1583612284,179,40,347
137,202956030,-7843,31,10,62
137,203203125,239252,107,27,289
139,429715545,-146261,67,18,194
140,283725750,41323,43,13,84
140,21801780,-20099,199,45,247
140,152755200,2047,89,23,315
141,92501838,32333,149,34,74
141,1573295724,1314139,223,47,198
141,314475777,79460,137,32,180
142,743328586,277611,61,17,90
143,29726293194,-1185811,109,28,199
