lattice_id,u,s,smoothness_value,smoothness_index,cost
0,657072,235,47,14,93
0,11165154,-1075,43,13,100
0,8537760,-1121,59,16,210
0,82055753,-48872,149,34,190
0,16410576,-10349,131,31,226
0,7222110,-3097,163,37,163
0,12975724300,-11913701,107,27,326
0,22589466120,184853,89,23,208
0,64923040,-103823,47,14,597
0,16395939,-24986,31,10,398
0,655473,-1364,31,10,586
1,3969405,-358,179,40,85
1,1134903,685,137,32,94
1,2833866,-1679,73,20,139
1,241026786,5461,127,30,167
2,866052,29,29,9,93
2,209564901,-12665,149,34,187
2,4332042,1927,47,14,76
2,48534915,37627,197,44,176
2,17320303,-157,157,36,124
2,866320,297,11,4,66
2,228762625,132553,61,17,280
2,18183880,-2603,137,32,107
2,14723280,889,127,30,106
2,42413085,-22042,107,27,253
2,763749701,-82585,199,45,280
3,10534050,4921,37,11,83
4,1022450,333,37,11,58
4,1022208,91,13,5,118
4,11248640,5353,101,25,126
4,64420400,27029,179,40,196
4,1051747840,-10553,173,39,200
4,6131125,-1577,83,22,148
4,13280960,-6561,3,1,162
4,2658370000,-156317,163,37,310
4,9193600,-5453,41,12,262
4,651059200,-29329,211,46,339
4,7150000,-4819,79,21,371
5,4611915,-3053,71,19,150
5,31112125,-38909,73,20,264
5,46686250,-40301,211,46,333
5,46750000,23449,179,40,130
5,68656250,8601,61,17,211
5,25416015625,-3228119,89,23,292
5,1153977,235,47,14,81
5,763140625,-59708,59,16,197
5,6349330,3749,163,37,198
5,144204489,-13261,149,34,295
6,347766705,-227599,79,21,191
6,49711519,-1953,31,10,118
6,5437575,164,41,12,121
6,8541936,-2567,151,35,130
6,815730721,119071,167,38,332
7,20693556,-89,89,23,94
7,50247912,-8083,137,32,212
7,103541152,72927,73,20,356
7,1826653400,1473911,227,48,284
7,45507096,-18923,149,34,228
7,512435000,-176149,127,30,259
7,501126000,339791,113,29,231
7,28957500,-13603,223,47,236
7,5475734000,195533,89,23,375
8,528220,261,29,9,42
8,224827239,444664,163,37,470
8,64001056,118017,47,14,331
8,4802079233,10851308,211,46,649
9,39918125,-3792,79,21,114
10,844662,265,53,15,62
10,804156925,290981,101,25,204
10,38014691,16826,179,40,262
10,675491817,-25783,59,16,224
11,439239619,-395456,167,38,271
11,26606853,-37697,149,34,351
11,130551993,-6302,137,32,90
11,312126078537,43793297,197,44,343
11,182660427,-121186,79,21,213
12,3183624,209,19,7,228
12,2546775,43,43,13,89
12,54108054,-10001,137,32,148
12,155953512,-33823,227,48,287
12,91035000,-10669,227,48,186
12,4455000,-1781,137,32,215
12,827344287,-343613,131,31,347
12,14000231,-6795,151,35,96
