lattice_id,u,s,smoothness_value,smoothness_index,cost
0,4455516,781,71,19,48
0,257330216,-153467,83,22,162
0,2783845064,-364311,131,31,303
0,155897368,-18357,211,46,258
0,891072,125,5,2,97
0,13131454336,-213497,97,24,268
0,60156896877,-71120323,163,37,496
1,9938999,-3384,47,14,61
1,903125,-728,13,5,129
1,8133125,-1552,97,24,104
1,8134588,-89,89,23,217
1,6323031,-3940,197,44,103
1,4519229,-36,3,1,148
1,11749584,-505,101,25,233
1,15356250,-9251,29,9,165
1,11755296,5207,127,30,319
1,22620312,23987,83,22,325
2,23592226,-15347,149,34,171
2,9296875,-3078,19,7,94
2,1428595,-2167,197,44,367
3,9140625,-2842,29,9,278
3,2689128,-127,127,30,275
3,65146380,66409,179,40,170
3,65078125,-1846,71,19,226
3,6987750,-4313,227,48,132
3,26353800,-899,31,10,232
4,1610510,893,47,14,79
4,537251,712,89,23,165
4,139631217,131077,139,33,240
4,203039551,227809,131,31,284
4,217782019,483724,83,22,620
5,21902936,-2619,97,24,55
5,3128697,-668,167,38,126
5,7818613803,-4798697,139,33,330
5,8138240,1891,61,17,142
5,3129581,216,3,1,117
5,3130512,1147,37,11,58
5,391514981,344356,197,44,225
5,626688,815,163,37,238
6,4891425,-1207,71,19,147
6,72772425,-5476,37,11,106
6,46268707815,-35161433,101,25,507
6,324201153375,74068639,181,41,638
8,679140,83,83,22,106
8,67228000,1357,59,16,502
8,11550000,6031,163,37,563
8,2551047840,-169309,67,18,339
9,79511992,34715,131,31,138
9,3286712,2527,19,7,96
9,94856450468,25608593,89,23,234
9,657072,235,47,14,168
9,36171408,45373,157,36,264
11,738325640,785991,97,24,143
11,57954303169,-3948351,149,34,241
11,11328800,8829,109,28,122
11,871563,796,199,45,170
11,1742279,745,149,34,95
11,4248212144,3223019,223,47,211
12,1106105,303,101,25,51
12,1660120,1417,109,28,168
12,93462600,22331,163,37,107
12,7951190016,8767151,97,24,365
12,1214915625,192128,79,21,220
12,64706950,17533,197,44,209
12,79060128,-4715,41,12,259
12,13823524,999,37,11,137
12,2764608,103,103,26,127
12,8289281,-4234,73,20,134
12,93500000,59731,53,15,111
12,2717203125,800512,59,16,178
12,1382352400,652801,113,29,183
12,84584500,-9353,199,45,130
12,21560000,-3139,73,20,122
13,544320,131,131,31,193
13,29937843,7448,19,7,138
13,8168446,5611,181,41,59
13,3809598,275,11,4,70
13,544544,355,71,19,144
13,5333623945,27556,83,22,130
13,1632680,113,113,29,310
14,1108723,965,193,43,200
14,13847724,749,107,27,169
14,93702400,96849,211,46,289
14,30476784,13439,151,35,86
14,2772224,2829,41,12,145
14,1664000,2363,139,33,220
14,554880,1001,13,5,269
14,7208960,8533,53,15,322
15,552279,-82,41,12,42
15,13796146,-12879,53,15,242
15,69060992,15867,43,13,248
15,124297472,16247,211,46,308
15,4978688,7439,173,39,240
15,1073446283,-343501,179,40,188
15,7728149,-4905,109,28,132
15,21540904,-1175,47,14,124
15,44740234,-1007,53,15,172
16,8462498,-3479,71,19,141
16,21494375,3818,83,22,106
16,574206875,-177103,197,44,209
16,451562500,260803,179,40,152
16,7163154,-365,73,20,134
16,989931250,-588059,131,31,200
16,502431015625,237725962,179,40,482
16,4556250,-2353,181,41,138
17,7419776,437,23,8,201
17,17303000,-8791,149,34,147
17,66784256,10205,157,36,417
17,10718750,1927,47,14,83
17,32140625,-9844,107,27,111
17,22253000,-5017,173,39,231
17,200200000,-122153,113,29,599
18,1106105,303,101,25,59
18,57495207,-6497,89,23,132
18,35388339,2675,107,27,626
18,8289281,-4234,73,20,227
18,6086535,4624,17,6,319
18,3185361179,651419,181,41,584
19,51653448,2603,137,32,91
19,21258732,-9263,157,36,87
19,45574144,-131,131,31,212
19,267988864,12127,181,41,151
20,773955,284,71,19,58
20,11625271875,-1455913,109,28,334
20,563150313,-82175,173,39,217
20,30491427375,-9778129,59,16,375
21,560235,356,89,23,123
21,43111575,892,223,47,207
21,17918901,2773,59,16,402
22,2501499,215,43,13,52
22,78156078,-9047,109,28,126
22,8134588,5415,19,7,105
23,771375,334,167,38,64
23,2314312,1189,41,12,87
23,30078125,7526,71,19,102
23,20825000,6893,113,29,159
23,1559765625,-50318,181,41,171
23,39325000,1909,83,22,132
23,1094843750000,75788863,181,41,255
23,419684265,237961,83,22,363
23,10793861,-713,31,10,165
23,1782421875,-224917,127,30,265
23,13109460,1763,43,13,144
23,52408125,-22663,173,39,179
23,117906250,-63023,107,27,186
24,540540,-109,109,28,71
24,540225,-424,53,15,213
24,156221065,-26496,23,8,174
24,5407479,989,43,13,98
24,7026831,-1606,73,20,123
24,45972927,17762,107,27,124
24,64304361,-32870,173,39,229
24,56205009,-22487,199,45,162
24,54000891,-64009,23,8,363
24,4322241,-2951,227,48,160
24,1187442333,-363520,71,19,170
24,35153041,10856,59,16,241
24,50735425356,-45031969,139,33,439
25,25878125,3139,73,20,116
25,1521585,-473,43,13,202
25,761332,303,101,25,81
25,170473875,3379,109,28,116
25,486873387,-185173,97,24,204
25,2282665,-422,211,46,194
25,2284880,1793,163,37,106
25,2946724053,19765,67,18,211
25,75357100,15229,157,36,229
25,2283008,-79,79,21,263
25,92046500,-38009,199,45,182
25,513641128,-53447,97,24,383
25,3046875,2759,89,23,115
25,12182625,6161,101,25,163
25,9900000,6623,179,40,103
25,16752463,9825,131,31,226
25,128622340,8439,97,24,185
26,902613283,-24047,173,39,110
26,8703679193,-323632,179,40,507
26,66327625,11413,113,29,339
26,4298008,-265,53,15,71
26,646786624,203557,71,19,454
26,614125,86,43,13,117
27,31320375,3683,127,30,102
27,19921875,-6929,41,12,128
27,1422135,-1351,193,43,236
28,2539732,79,79,21,37
28,921125205,77717,109,28,175
28,13557687,12871,211,46,169
28,866683545,-184679,163,37,161
30,6975757441,-956884,113,29,105
30,51292334125,-16416368,223,47,139
31,2750517,-598,23,8,67
31,5498361,-3869,73,20,144
31,269440587,-168683,97,24,271
32,1127357,-309,103,26,46
32,80607744,-20375,163,37,329
32,14085981,-9844,107,27,360
32,49592655,-24649,157,36,404
