lattice_id,smoothness_limit,bit_length,semiprime,lattice_dimension,precision_parameter
0,25,20,622121,5,4
1,25,20,562127,5,4
2,25,20,600617,5,4
3,25,20,825989,5,4
4,25,20,551987,5,4
5,25,20,555991,5,4
6,25,20,627401,5,4
7,25,20,588139,5,4
8,25,20,546773,5,4
9,25,20,624647,5,4
10,25,20,722879,5,4
11,25,20,838241,5,4
12,25,20,799709,5,4
13,25,20,811313,5,4
14,25,20,542863,5,4
15,25,20,915163,5,4
16,25,20,589429,5,4
17,25,20,698969,5,4
18,25,20,704267,5,4
19,25,20,663889,5,4
20,25,20,541109,5,4
21,25,20,726217,5,4
22,25,20,642989,5,4
23,25,20,683029,5,4
24,25,20,728587,5,4
25,25,20,854941,5,4
26,25,20,579749,5,4
27,25,20,562451,5,4
28,25,20,618487,5,4
29,25,20,688819,5,4
30,25,20,704129,5,4
31,25,20,532799,5,4
32,25,20,717583,5,4
33,25,20,705511,5,4
34,25,20,705239,5,4
35,25,20,567629,5,4
36,25,20,580511,5,4
37,25,20,677921,5,4
38,25,20,710249,5,4
39,25,20,557813,5,4
40,25,20,690199,5,4
41,25,20,954803,5,4
42,25,20,690169,5,4
43,25,20,877069,5,4
44,25,20,601793,5,4
45,25,20,553387,5,4
46,25,20,566207,5,4
47,25,20,575803,5,4
48,25,20,578107,5,4
49,25,20,625217,5,4
50,25,20,574069,5,4
51,25,20,631349,5,4
52,25,20,612917,5,4
53,25,20,694691,5,4
54,25,20,656837,5,4
55,25,20,574339,5,4
56,25,20,867989,5,4
57,25,20,732019,5,4
58,25,20,795439,5,4
59,25,20,797231,5,4
60,25,20,623011,5,4
61,25,20,543293,5,4
62,25,20,543817,5,4
63,25,20,744647,5,4
64,25,20,616487,5,4
65,25,20,744241,5,4
66,25,20,545977,5,4
67,25,20,814733,5,4
68,25,20,567419,5,4
69,25,20,668197,5,4
70,25,20,713809,5,4
71,25,20,663847,5,4
72,25,20,783611,5,4
73,25,20,690227,5,4
74,25,20,528601,5,4
75,25,20,601063,5,4
76,25,20,915163,5,4
77,25,20,550619,5,4
78,25,20,801953,5,4
79,25,20,750583,5,4
80,25,20,735887,5,4
81,25,20,528601,5,4
82,25,20,601229,5,4
83,25,20,750089,5,4
84,25,20,759859,5,4
85,25,20,559063,5,4
86,25,20,975703,5,4
87,25,20,750187,5,4
88,25,20,586199,5,4
89,25,20,540223,5,4
90,25,20,551987,5,4
91,25,20,999919,5,4
92,25,20,775921,5,4
93,25,20,628181,5,4
94,25,20,826277,5,4
95,25,20,547867,5,4
96,25,20,777299,5,4
97,25,20,633779,5,4
98,25,20,567419,5,4
99,25,20,698167,5,4
100,49,25,19900469,7,4
101,49,25,18587489,7,4
102,49,25,27768151,7,4
103,49,25,27643327,7,4
104,49,25,22918153,7,4
105,49,25,24072803,7,4
106,49,25,21151373,7,4
107,49,25,22626199,7,4
108,49,25,20774779,7,4
109,49,25,18014993,7,4
110,49,25,20208407,7,4
111,49,25,32200139,7,4
112,49,25,22714931,7,4
113,49,25,17634511,7,4
114,49,25,18356251,7,4
115,49,25,25416893,7,4
116,49,25,18937013,7,4
117,49,25,17009977,7,4
118,49,25,17589017,7,4
119,49,25,22960537,7,4
120,49,25,24997613,7,4
121,49,25,17917633,7,4
122,49,25,18075601,7,4
123,49,25,23451101,7,4
124,49,25,28986791,7,4
125,49,25,24528821,7,4
126,49,25,16857343,7,4
127,49,25,19539977,7,4
128,49,25,25507267,7,4
129,49,25,20079733,7,4
130,49,25,17327773,7,4
131,49,25,17550551,7,4
132,49,25,18917903,7,4
133,49,25,21977521,7,4
134,49,25,20472037,7,4
135,49,25,20884729,7,4
136,49,25,17598803,7,4
137,49,25,28994839,7,4
138,49,25,27969401,7,4
139,49,25,19539173,7,4
140,49,25,21821879,7,4
141,49,25,18493901,7,4
142,49,25,29722039,7,4
143,49,25,17333807,7,4
144,49,25,16890871,7,4
145,49,25,23641889,7,4
146,49,25,22766089,7,4
147,49,25,24949537,7,4
148,49,25,27409783,7,4
149,49,25,24794197,7,4
150,49,25,20689261,7,4
151,49,25,18135913,7,4
152,49,25,26504893,7,4
153,49,25,27375289,7,4
154,49,25,18774913,7,4
155,49,25,20463967,7,4
156,49,25,24175523,7,4
157,49,25,19619599,7,4
158,49,25,21604777,7,4
159,49,25,16821601,7,4
160,49,25,21256181,7,4
161,49,25,24824419,7,4
162,49,25,24708727,7,4
163,49,25,16883921,7,4
164,49,25,21115291,7,4
165,49,25,17584517,7,4
166,49,25,19931389,7,4
167,49,25,19517891,7,4
168,49,25,21918971,7,4
169,49,25,20467627,7,4
170,49,25,21217991,7,4
171,49,25,19557347,7,4
172,49,25,20662583,7,4
173,49,25,24777127,7,4
174,49,25,24008651,7,4
175,49,25,17895641,7,4
176,49,25,27828343,7,4
177,49,25,18782857,7,4
178,49,25,24495103,7,4
179,49,25,23193143,7,4
180,49,25,19509739,7,4
181,49,25,19106221,7,4
182,49,25,20404733,7,4
183,49,25,22518833,7,4
184,49,25,25607693,7,4
185,49,25,23302889,7,4
186,49,25,22039561,7,4
187,49,25,18664343,7,4
188,49,25,21077311,7,4
189,49,25,20005781,7,4
190,49,25,17405587,7,4
191,49,25,22876327,7,4
192,49,25,21163193,7,4
193,49,25,21156739,7,4
194,49,25,25084931,7,4
195,49,25,18142727,7,4
196,49,25,32960929,7,4
197,49,25,18556661,7,4
198,49,25,23478437,7,4
199,49,25,21178291,7,4
200,64,30,597448127,8,4
201,64,30,879092441,8,4
202,64,30,889493359,8,4
203,64,30,667825057,8,4
204,64,30,631377137,8,4
205,64,30,555820439,8,4
206,64,30,624135821,8,4
207,64,30,802773871,8,4
208,64,30,817499863,8,4
209,64,30,539622761,8,4
210,64,30,544986781,8,4
211,64,30,582038143,8,4
212,64,30,588005647,8,4
213,64,30,549433481,8,4
214,64,30,600141623,8,4
