lattice_id,smoothness_limit,bit_length,semiprime,lattice_dimension,precision_parameter
0,49,20,656837,7,4
1,49,20,567109,7,4
2,49,20,866023,7,4
3,49,20,809933,7,4
4,49,20,1022117,7,4
5,49,20,576871,7,4
6,49,20,776773,7,4
7,49,20,591247,7,4
8,49,20,527959,7,4
9,49,20,814733,7,4
10,49,20,844397,7,4
11,49,20,532891,7,4
12,49,20,636683,7,4
13,49,20,655957,7,4
14,49,20,870767,7,4
15,49,20,695399,7,4
16,49,20,720701,7,4
17,49,20,664831,7,4
18,49,20,622121,7,4
19,49,20,908267,7,4
20,49,20,691783,7,4
21,49,20,924233,7,4
22,49,20,635231,7,4
23,49,20,723253,7,4
24,49,20,648103,7,4
25,49,20,542863,7,4
26,49,20,579233,7,4
27,49,20,756851,7,4
28,49,20,593609,7,4
29,49,20,563677,7,4
30,49,20,705917,7,4
31,49,20,636679,7,4
32,49,20,833533,7,4
33,49,20,527543,7,4
34,49,20,713809,7,4
35,49,20,595223,7,4
36,49,20,687133,7,4
37,49,20,643063,7,4
38,49,20,733763,7,4
39,49,20,551891,7,4
40,49,20,742267,7,4
41,49,20,835781,7,4
42,49,20,754519,7,4
43,49,20,898343,7,4
44,49,20,773671,7,4
45,49,20,811313,7,4
46,49,20,614777,7,4
47,49,20,661559,7,4
48,49,20,655957,7,4
49,49,20,964099,7,4
50,49,20,795439,7,4
51,49,20,620131,7,4
52,49,20,744647,7,4
53,49,20,784639,7,4
54,49,20,591037,7,4
55,49,20,954803,7,4
56,49,20,888401,7,4
57,49,20,709493,7,4
58,49,20,740567,7,4
59,49,20,864779,7,4
60,49,20,663889,7,4
61,49,20,553183,7,4
62,49,20,703009,7,4
63,49,20,558697,7,4
64,49,20,673627,7,4
65,49,20,545323,7,4
66,49,20,811313,7,4
67,49,20,643063,7,4
68,49,20,609953,7,4
69,49,20,713809,7,4
70,49,20,695399,7,4
71,49,20,688927,7,4
72,49,20,539569,7,4
73,49,20,686599,7,4
74,49,20,793907,7,4
75,49,20,860677,7,4
76,49,20,544189,7,4
77,49,20,592997,7,4
78,49,20,898343,7,4
79,49,20,870913,7,4
80,49,20,573499,7,4
81,49,20,579889,7,4
82,49,20,556571,7,4
83,49,20,588143,7,4
84,49,20,844751,7,4
85,49,20,892961,7,4
86,49,20,824519,7,4
87,49,20,584299,7,4
88,49,20,685207,7,4
89,49,20,613103,7,4
90,49,20,728227,7,4
91,49,20,532409,7,4
92,49,20,537521,7,4
93,49,20,723301,7,4
94,49,20,529651,7,4
95,49,20,784237,7,4
96,49,20,549337,7,4
97,49,20,581387,7,4
98,49,20,812143,7,4
99,49,20,841499,7,4
100,81,25,17810197,9,4
101,81,25,19484209,9,4
102,81,25,18601087,9,4
103,81,25,17433973,9,4
104,81,25,18617303,9,4
105,81,25,20238167,9,4
106,81,25,19531727,9,4
107,81,25,27828343,9,4
108,81,25,21433673,9,4
109,81,25,17547487,9,4
110,81,25,17821501,9,4
111,81,25,18562051,9,4
112,81,25,23171257,9,4
113,81,25,29543677,9,4
114,81,25,22490477,9,4
115,81,25,22963471,9,4
116,81,25,26480063,9,4
117,81,25,21328039,9,4
118,81,25,26808311,9,4
119,81,25,29490001,9,4
120,81,25,21402701,9,4
121,81,25,21908339,9,4
122,81,25,23418337,9,4
123,81,25,19940509,9,4
124,81,25,17045933,9,4
125,81,25,18153581,9,4
126,81,25,27791987,9,4
127,81,25,18166691,9,4
128,81,25,28906937,9,4
129,81,25,22282409,9,4
130,81,25,20725031,9,4
131,81,25,23760857,9,4
132,81,25,22876327,9,4
133,81,25,17133409,9,4
134,81,25,17451601,9,4
135,81,25,29783359,9,4
136,81,25,21042653,9,4
137,81,25,17120023,9,4
138,81,25,23423887,9,4
139,81,25,24673091,9,4
140,81,25,23648357,9,4
141,81,25,20925889,9,4
142,81,25,17085539,9,4
143,81,25,26160679,9,4
144,81,25,20327803,9,4
145,81,25,32286671,9,4
146,81,25,18680581,9,4
147,81,25,21677767,9,4
148,81,25,27487399,9,4
149,81,25,26723681,9,4
150,81,25,23596891,9,4
151,81,25,24127273,9,4
152,81,25,31585231,9,4
153,81,25,18222107,9,4
154,81,25,17566177,9,4
155,81,25,26507843,9,4
156,81,25,22827863,9,4
157,81,25,16971613,9,4
158,81,25,19970341,9,4
159,81,25,16816447,9,4
160,81,25,27406801,9,4
161,81,25,20180119,9,4
162,81,25,19296971,9,4
163,81,25,27001519,9,4
164,81,25,19972367,9,4
165,81,25,32028989,9,4
166,81,25,20190427,9,4
167,81,25,18680341,9,4
168,81,25,17446577,9,4
169,81,25,23907943,9,4
170,81,25,25250129,9,4
171,81,25,22991239,9,4
172,81,25,25960097,9,4
173,81,25,20675659,9,4
174,81,25,22995461,9,4
175,81,25,23919611,9,4
176,81,25,17352043,9,4
177,81,25,20708161,9,4
178,81,25,28359367,9,4
