lattice_id,smoothness_limit,bit_length,semiprime,lattice_dimension,precision_parameter
0,49,20,890947,7,4
1,49,20,903853,7,4
2,49,20,715381,7,4
3,49,20,537851,7,4
4,49,20,536539,7,4
5,49,20,625873,7,4
6,49,20,611579,7,4
7,49,20,616183,7,4
8,49,20,679057,7,4
9,49,20,656837,7,4
10,49,20,641941,7,4
11,49,20,870767,7,4
12,49,20,552901,7,4
13,49,20,544189,7,4
14,49,20,553879,7,4
15,49,20,552361,7,4
16,49,20,651229,7,4
17,49,20,824371,7,4
18,49,20,552901,7,4
19,49,20,607657,7,4
20,49,20,773671,7,4
21,49,20,559879,7,4
22,49,20,625321,7,4
23,49,20,771041,7,4
24,49,20,540649,7,4
25,49,20,761029,7,4
26,49,20,614039,7,4
27,49,20,711743,7,4
28,49,20,846551,7,4
29,49,20,971107,7,4
30,49,20,813611,7,4
31,49,20,550223,7,4
32,49,20,563833,7,4
33,49,20,618487,7,4
34,49,20,553183,7,4
35,49,20,727393,7,4
36,49,20,759541,7,4
37,49,20,897739,7,4
38,49,20,739597,7,4
39,49,20,659017,7,4
40,49,20,553429,7,4
41,49,20,659389,7,4
42,49,20,595489,7,4
43,49,20,731123,7,4
44,49,20,573697,7,4
45,49,20,682559,7,4
46,49,20,539453,7,4
47,49,20,688819,7,4
48,49,20,655493,7,4
49,49,20,567629,7,4
50,49,20,804173,7,4
51,49,20,633779,7,4
52,49,20,642703,7,4
53,49,20,799261,7,4
54,49,20,545359,7,4
55,49,20,886139,7,4
56,49,20,588143,7,4
57,49,20,898837,7,4
58,49,20,799709,7,4
59,49,20,908267,7,4
60,49,20,600757,7,4
61,49,20,553387,7,4
62,49,20,607657,7,4
63,49,20,571807,7,4
64,49,20,552533,7,4
65,49,20,583951,7,4
66,49,20,606007,7,4
67,49,20,747491,7,4
68,49,20,821749,7,4
69,49,20,731123,7,4
70,49,20,531341,7,4
71,49,20,795439,7,4
72,49,20,782303,7,4
73,49,20,595759,7,4
74,49,20,635231,7,4
75,49,20,563879,7,4
76,49,20,584501,7,4
77,49,20,948667,7,4
78,49,20,549337,7,4
79,49,20,750011,7,4
80,49,20,562013,7,4
81,49,20,651229,7,4
82,49,20,898837,7,4
83,49,20,921071,7,4
84,49,20,528557,7,4
85,49,20,732019,7,4
86,49,20,661489,7,4
87,49,20,720553,7,4
88,49,20,536713,7,4
89,49,20,559019,7,4
90,49,20,763813,7,4
91,49,20,919537,7,4
92,49,20,825257,7,4
93,49,20,679027,7,4
94,49,20,799067,7,4
95,49,20,619481,7,4
96,49,20,592271,7,4
97,49,20,542257,7,4
98,49,20,550727,7,4
99,49,20,528949,7,4
100,64,25,20040271,8,4
101,64,25,24758969,8,4
102,64,25,20424857,8,4
103,64,25,17083441,8,4
104,64,25,18005123,8,4
105,64,25,23681381,8,4
106,64,25,18311071,8,4
107,64,25,18849223,8,4
108,64,25,18829339,8,4
109,64,25,18083893,8,4
110,64,25,20820269,8,4
111,64,25,17883083,8,4
112,64,25,21009239,8,4
113,64,25,20956921,8,4
114,64,25,19303577,8,4
115,64,25,24047081,8,4
116,64,25,26029903,8,4
117,64,25,17117809,8,4
118,64,25,22188601,8,4
119,64,25,25682521,8,4
120,81,25,29179027,9,4
121,64,25,20559313,8,4
122,64,25,23907077,8,4
123,64,25,18933911,8,4
124,64,25,16832273,8,4
125,81,25,29624213,9,4
126,64,25,18997963,8,4
127,64,25,24503329,8,4
128,64,25,19049137,8,4
129,64,25,26491813,8,4
130,64,25,25626521,8,4
131,81,25,26614603,9,4
132,64,25,18276229,8,4
133,81,25,26876953,9,4
134,64,25,21842783,8,4
135,81,25,28662661,9,4
136,64,25,18734449,8,4
137,64,25,24295759,8,4
138,64,25,19711051,8,4
139,81,25,27561509,9,4
140,64,25,24671173,8,4
141,64,25,24019711,8,4
142,64,25,24529229,8,4
143,64,25,24360989,8,4
144,64,25,24734153,8,4
145,64,25,26057833,8,4
146,64,25,18391309,8,4
147,64,25,20531033,8,4
148,64,25,17560957,8,4
149,64,25,24736769,8,4
150,81,25,27205781,9,4
151,64,25,21077311,8,4
152,64,25,19270829,8,4
153,64,25,24140471,8,4
154,81,25,32223941,9,4
155,64,25,18492781,8,4
156,64,25,18652211,8,4
157,64,25,20989277,8,4
158,64,25,23956861,8,4
159,64,25,24531401,8,4
160,64,25,20276149,8,4
161,81,25,29440949,9,4
162,64,25,20717363,8,4
163,64,25,16939841,8,4
164,64,25,20568059,8,4
165,81,25,29363897,9,4
166,64,25,20121617,8,4
167,64,25,19448131,8,4
168,64,25,25980949,8,4
169,81,25,30109631,9,4
170,64,25,18574811,8,4
171,64,25,21377779,8,4
172,64,25,17243873,8,4
173,81,25,26618653,9,4
174,64,25,18280783,8,4
175,64,25,19856471,8,4
176,64,25,17776991,8,4
177,64,25,18003451,8,4
178,64,25,21009119,8,4
179,64,25,26422007,8,4
180,64,25,21125677,8,4
181,81,25,28830499,9,4
182,64,25,19918307,8,4
183,64,25,24279187,8,4
184,81,25,30363451,9,4
185,64,25,21121279,8,4
186,64,25,20577391,8,4
187,64,25,24390917,8,4
188,64,25,18816283,8,4
189,64,25,18616699,8,4
190,64,25,20951999,8,4
191,64,25,24278783,8,4
192,64,25,20693359,8,4
193,64,25,17547487,8,4
194,64,25,20859577,8,4
195,64,25,18205199,8,4
196,64,25,19844711,8,4
197,64,25,23744641,8,4
198,64,25,19886173,8,4
199,64,25,21019949,8,4
200,100,30,688742599,10,4
201,81,30,586862813,9,4
202,100,30,636510961,10,4
203,100,30,676294981,10,4
204,81,30,575070833,9,4
205,100,30,791274559,10,4
206,100,30,864830639,10,4
207,81,30,591073429,9,4
208,81,30,616333423,9,4
209,100,30,942831259,10,4
210,100,30,670115899,10,4
211,81,30,543533929,9,4
212,81,30,569762651,9,4
213,100,30,679220099,10,4
214,100,30,763532443,10,4
215,81,30,580616137,9,4
216,100,30,633042167,10,4
217,100,30,725151961,10,4
218,100,30,671504861,10,4
219,100,30,640100221,10,4
220,81,30,580500601,9,4
221,100,30,633861751,10,4
222,100,30,878016569,10,4
223,81,30,593174609,9,4
224,81,30,615913741,9,4
225,100,30,873780587,10,4
226,81,30,585164017,9,4
227,100,30,721964981,10,4
228,100,30,952529927,10,4
229,100,30,830180321,10,4
230,81,30,619844773,9,4
231,100,30,734243693,10,4
232,100,30,702516569,10,4
233,100,30,760437889,10,4
234,81,30,540987739,9,4
235,100,30,672623863,10,4
236,100,30,629035609,10,4
237,100,30,794133323,10,4
238,100,30,861559063,10,4
239,100,30,771199673,10,4
240,100,30,749236769,10,4
241,81,30,572016343,9,4
242,100,30,779935901,10,4
243,100,30,874211381,10,4
244,100,30,676124297,10,4
245,100,30,750907537,10,4
246,81,30,588026287,9,4
247,81,30,601933313,9,4
248,81,30,559635983,9,4
249,100,30,813856339,10,4
250,100,30,869949841,10,4
251,100,30,667493611,10,4
252,100,30,800614301,10,4
253,100,30,705621311,10,4
254,81,30,579466007,9,4
255,81,30,581003539,9,4
256,81,30,606229153,9,4
257,100,30,1029255607,10,4
258,100,30,912833443,10,4
259,81,30,544220147,9,4
260,100,30,654371897,10,4
261,100,30,728840033,10,4
262,100,30,647031629,10,4
263,100,30,690018013,10,4
264,81,30,547179121,9,4
265,100,30,791129329,10,4
266,81,30,579860467,9,4
267,100,30,938200057,10,4
268,100,30,1024921021,10,4
269,100,30,788309623,10,4
270,100,30,827545637,10,4
271,100,30,699334787,10,4
272,81,30,537202327,9,4
273,81,30,584806403,9,4
274,100,30,994567349,10,4
275,100,30,756850639,10,4
276,81,30,597942469,9,4
277,100,30,680074939,10,4
278,100,30,881197283,10,4
279,81,30,555212897,9,4
280,100,30,1011445129,10,4
281,81,30,562034999,9,4
282,100,30,792309901,10,4
283,100,30,836064563,10,4
284,100,30,705311329,10,4
285,100,30,634220359,10,4
286,100,30,643788347,10,4
287,100,30,763267663,10,4
288,100,30,706886263,10,4
289,100,30,936039277,10,4
290,100,30,730544341,10,4
291,81,30,595969321,9,4
292,100,30,622857479,10,4
293,81,30,587141297,9,4
294,100,30,732818419,10,4
295,100,30,631322411,10,4
296,100,30,669287041,10,4
297,81,30,569351147,9,4
298,100,30,657982609,10,4
299,81,30,547852321,9,4
300,121,35,19516582991,11,4
301,121,35,18283842209,11,4
302,121,35,27061870261,11,4
303,121,35,21578684891,11,4
304,121,35,17632727611,11,4
305,121,35,27011923121,11,4
306,121,35,17661749983,11,4
307,121,35,19526408939,11,4
308,121,35,25768488061,11,4
309,121,35,21866356747,11,4
310,121,35,27667683233,11,4
311,121,35,22583113019,11,4
312,121,35,18266698319,11,4
313,121,35,26367008749,11,4
314,121,35,17739125531,11,4
315,121,35,29714365663,11,4
316,121,35,31634988179,11,4
317,121,35,20192242139,11,4
318,121,35,27899583377,11,4
319,121,35,20371565329,11,4
320,121,35,29031524861,11,4
321,121,35,26343038923,11,4
322,121,35,29179350023,11,4
323,121,35,25341553247,11,4
324,121,35,30181722601,11,4
325,121,35,30348340663,11,4
326,121,35,20450144587,11,4
327,121,35,24908623991,11,4
328,121,35,32197619777,11,4
329,121,35,19011735751,11,4
330,121,35,19470463687,11,4
331,121,35,22733315497,11,4
332,121,35,18721006379,11,4
333,121,35,20547320291,11,4
334,121,35,29408815717,11,4
335,121,35,20479753013,11,4
336,121,35,20128904923,11,4
337,121,35,20999838173,11,4
338,121,35,23932773019,11,4
339,121,35,27510150589,11,4
340,121,35,17280876013,11,4
341,121,35,20209810373,11,4
342,121,35,21352058873,11,4
343,121,35,19228513847,11,4
344,121,35,29444784373,11,4
345,121,35,20877762137,11,4
346,121,35,21380167961,11,4
347,121,35,20236813567,11,4
348,121,35,29238562501,11,4
349,121,35,18572381939,11,4
350,121,35,21414159731,11,4
351,121,35,21192304579,11,4
352,121,35,23833710137,11,4
353,121,35,18260220613,11,4
354,121,35,19833722287,11,4
355,121,35,25224531481,11,4
356,121,35,20277817979,11,4
357,121,35,22004039293,11,4
358,121,35,24507769613,11,4
359,121,35,18037101839,11,4
360,121,35,26329299011,11,4
361,121,35,21922024913,11,4
362,121,35,20084018687,11,4
363,121,35,19092053653,11,4
364,121,35,19302783713,11,4
365,121,35,22630147039,11,4
366,121,35,17541467627,11,4
367,121,35,21046000777,11,4
368,121,35,24279951557,11,4
369,121,35,24822853577,11,4
370,121,35,26012115607,11,4
371,121,35,29647815391,11,4
372,121,35,19911273419,11,4
373,121,35,17365615139,11,4
374,121,35,18241500367,11,4
375,121,35,19457915899,11,4
376,121,35,19700456513,11,4
377,121,35,21860383609,11,4
378,121,35,25596391697,11,4
379,121,35,27841311623,11,4
380,121,35,19006216829,11,4
381,121,35,25947706999,11,4
382,121,35,21485087257,11,4
383,121,35,17740008437,11,4
384,121,35,29986742627,11,4
385,121,35,24763693393,11,4
386,121,35,31481198291,11,4
387,121,35,22355287831,11,4
388,121,35,19085347241,11,4
389,121,35,22040165417,11,4
390,121,35,19119730271,11,4
391,121,35,32278245161,11,4
392,121,35,20522850317,11,4
393,121,35,27122433511,11,4
394,121,35,22950169351,11,4
395,121,35,23880292679,11,4
396,121,35,24860880977,11,4
397,121,35,17268320033,11,4
398,121,35,26023596451,11,4
399,121,35,28891039231,11,4
400,144,40,814032128717,12,4
401,144,40,823489506253,12,4
402,144,40,626168496257,12,4
403,144,40,691344978991,12,4
404,144,40,986985135449,12,4
405,144,40,963762368141,12,4
406,144,40,778509748901,12,4
407,144,40,626468697847,12,4
408,144,40,917109748657,12,4
409,144,40,555432787939,12,4
410,144,40,826585274233,12,4
411,144,40,567767379463,12,4
412,144,40,626398157857,12,4
413,144,40,759047121289,12,4
414,144,40,998280051397,12,4
415,144,40,697768661591,12,4
416,144,40,708062398013,12,4
417,144,40,860347240157,12,4
418,144,40,790444104433,12,4
419,144,40,645777054733,12,4
420,144,40,969291812039,12,4
421,144,40,612021298747,12,4
422,144,40,822745300711,12,4
423,144,40,630261871549,12,4
424,144,40,723684199493,12,4
425,144,40,808615940441,12,4
426,144,40,649632727543,12,4
427,144,40,614212335007,12,4
428,144,40,1055077051157,12,4
429,144,40,991128314909,12,4
430,144,40,599256141287,12,4
431,144,40,580034075209,12,4
432,144,40,608266601053,12,4
433,144,40,561888871837,12,4
434,144,40,740574841709,12,4
435,144,40,883910741881,12,4
436,144,40,724696651507,12,4
437,144,40,751395098011,12,4
438,144,40,818654878193,12,4
439,144,40,857486247269,12,4
440,144,40,597462969199,12,4
441,144,40,766634788637,12,4
442,144,40,1052582977357,12,4
443,144,40,928504754741,12,4
444,144,40,585134935433,12,4
445,144,40,841085449891,12,4
446,144,40,844667742497,12,4
447,144,40,825956011109,12,4
448,144,40,1010824323169,12,4
449,144,40,728958900913,12,4
450,144,40,735341118529,12,4
451,144,40,725364443383,12,4
452,144,40,592971227437,12,4
453,144,40,552312436877,12,4
454,144,40,827184267097,12,4
455,144,40,935518233827,12,4
456,144,40,838476292067,12,4
457,144,40,920332044329,12,4
458,144,40,747936752687,12,4
459,144,40,655464425953,12,4
460,144,40,574428219383,12,4
461,144,40,988885251647,12,4
462,144,40,570726757361,12,4
463,144,40,753732697187,12,4
464,144,40,572560662017,12,4
465,144,40,682867246423,12,4
466,144,40,578044861883,12,4
467,144,40,580541434489,12,4
468,144,40,715823778521,12,4
469,144,40,1028197957769,12,4
470,144,40,845516394383,12,4
471,144,40,577010011181,12,4
472,144,40,612384141233,12,4
473,144,40,861498992657,12,4
474,144,40,1021343144609,12,4
475,144,40,707807376439,12,4
476,144,40,719892753883,12,4
477,144,40,635048023009,12,4
478,144,40,591403757401,12,4
479,144,40,551438008193,12,4
480,144,40,571173344783,12,4
481,144,40,772367988569,12,4
482,144,40,715840709489,12,4
483,144,40,711308670019,12,4
484,144,40,790428755687,12,4
485,144,40,1002499944421,12,4
486,144,40,587356343437,12,4
487,144,40,656046130871,12,4
488,144,40,681106280053,12,4
489,144,40,808507299617,12,4
490,144,40,558803892239,12,4
491,144,40,628070094719,12,4
492,144,40,563904346171,12,4
493,144,40,807376372541,12,4
494,144,40,603373536109,12,4
495,144,40,779166393287,12,4
496,144,40,608036759069,12,4
497,144,40,756100572217,12,4
498,144,40,680793342793,12,4
499,144,40,791392629211,12,4
500,169,45,24300424059617,13,4
501,169,45,19205342584651,13,4
502,169,45,22490915808821,13,4
503,169,45,20339070505541,13,4
504,169,45,19824796300847,13,4
505,169,45,19642759729909,13,4
506,169,45,27545459953787,13,4
507,169,45,23372053558411,13,4
508,169,45,18583751083537,13,4
509,169,45,17876389108927,13,4
510,169,45,22025894449721,13,4
511,169,45,24636918685187,13,4
512,169,45,22267525031569,13,4
513,169,45,29365585956139,13,4
514,169,45,19477284305923,13,4
515,169,45,27764915626493,13,4
516,169,45,23515011327889,13,4
517,169,45,18326913576901,13,4
518,169,45,24102560707483,13,4
519,169,45,34972494545269,13,4
520,169,45,19541687698747,13,4
521,169,45,23825670113629,13,4
522,169,45,21540700108607,13,4
523,169,45,26857475860331,13,4
524,169,45,19840630270631,13,4
525,169,45,34475619743077,13,4
526,169,45,28721071553113,13,4
527,169,45,23463117117239,13,4
528,169,45,31085312868803,13,4
529,169,45,18527130514063,13,4
530,169,45,21456249441349,13,4
531,169,45,18549595447441,13,4
532,169,45,23420777956651,13,4
533,169,45,33855794786237,13,4
534,169,45,25319292138953,13,4
535,169,45,20816337459487,13,4
536,169,45,17679132179099,13,4
537,169,45,30492091623211,13,4
538,169,45,28139532288779,13,4
539,169,45,28718520740687,13,4
540,169,45,21171601205477,13,4
541,169,45,18861965856473,13,4
542,169,45,23460646899883,13,4
543,169,45,23850905807983,13,4
544,169,45,21001510434469,13,4
545,169,45,29591939894651,13,4
546,169,45,20291287475143,13,4
547,169,45,20620073806993,13,4
548,169,45,20469311563291,13,4
549,169,45,19628420024783,13,4
550,169,45,22606669264789,13,4
551,169,45,18474652017961,13,4
552,169,45,21908297208437,13,4
553,169,45,28497247374619,13,4
554,169,45,17936519789413,13,4
555,169,45,25306657566049,13,4
556,169,45,25121029866973,13,4
557,169,45,23588207602307,13,4
558,169,45,25634731217737,13,4
559,169,45,19520477161349,13,4
560,169,45,21951268394911,13,4
561,169,45,31826342517041,13,4
562,169,45,21151014439333,13,4
563,169,45,20532698009501,13,4
564,169,45,17699611409761,13,4
565,169,45,22960786304011,13,4
566,169,45,29193872542013,13,4
567,169,45,25708154082521,13,4
568,169,45,19125410805673,13,4
569,169,45,18109830584683,13,4
570,169,45,20340206289587,13,4
571,169,45,21699491553679,13,4
572,169,45,17750038893443,13,4
573,169,45,28019536705871,13,4
574,169,45,22254298337233,13,4
575,169,45,20805586565987,13,4
576,169,45,18737012395999,13,4
577,169,45,19446637411841,13,4
578,169,45,21977934932081,13,4
579,169,45,19465358429851,13,4
580,169,45,20515923926077,13,4
581,169,45,29394724465877,13,4
582,169,45,23289395741867,13,4
583,169,45,27971175873107,13,4
584,169,45,22113794546171,13,4
585,169,45,25799440316443,13,4
586,169,45,33345808633981,13,4
587,169,45,18203035083323,13,4
588,169,45,28789358603281,13,4
589,169,45,19097549228899,13,4
590,169,45,28922431776187,13,4
591,169,45,23976715207811,13,4
592,169,45,21721340469203,13,4
