bit_length,semiprime,lattice_dimension,precision_parameter,smoothness_bound,sr_pairs,ground_truth_sr_pairs
20,568759,7,4,49,11,14
20,707309,7,4,49,4,4
20,663889,7,4,49,3,5
20,937361,7,4,49,2,2
20,538243,7,4,49,11,12
20,864371,7,4,49,4,4
20,596867,7,4,49,3,4
20,877069,7,4,49,5,6
20,750011,7,4,49,6,7
20,869107,7,4,49,4,4
20,636683,7,4,49,5,6
20,576139,7,4,49,4,4
20,898343,7,4,49,3,5
20,679841,7,4,49,2,2
20,684781,7,4,49,9,10
20,658627,7,4,49,3,4
20,533153,7,4,49,1,1
20,577519,7,4,49,5,8
20,880697,7,4,49,3,5
20,541039,7,4,49,11,11
20,645721,7,4,49,0,0
20,679141,7,4,49,4,4
20,545869,7,4,49,7,9
20,860677,7,4,49,11,11
20,555911,7,4,49,8,8
20,598337,7,4,49,4,7
20,722879,7,4,49,4,4
20,555787,7,4,49,5,5
20,680429,7,4,49,2,3
20,740813,7,4,49,1,2
20,779431,7,4,49,5,5
20,767849,7,4,49,6,7
20,625357,7,4,49,9,9
20,707309,7,4,49,2,3
20,621077,7,4,49,6,7
20,617581,7,4,49,8,8
20,954803,7,4,49,7,8
20,581387,7,4,49,11,11
20,811313,7,4,49,4,4
20,916243,7,4,49,4,4
20,824851,7,4,49,3,3
20,648103,7,4,49,4,4
20,545323,7,4,49,3,5
20,744647,7,4,49,5,5
20,625357,7,4,49,7,9
20,563833,7,4,49,2,2
20,627239,7,4,49,8,11
20,529409,7,4,49,13,14
20,932531,7,4,49,6,11
20,637757,7,4,49,3,3
20,770141,7,4,49,12,12
20,559327,7,4,49,1,2
20,636179,7,4,49,14,16
20,667397,7,4,49,7,10
20,528277,7,4,49,5,6
20,733549,7,4,49,3,3
20,985793,7,4,49,6,10
20,593609,7,4,49,3,3
20,735887,7,4,49,6,6
20,612211,7,4,49,9,10
20,664831,7,4,49,2,2
20,764329,7,4,49,5,7
20,679841,7,4,49,2,2
20,948667,7,4,49,0,0
20,858929,7,4,49,10,10
20,559619,7,4,49,5,5
20,664189,7,4,49,6,6
20,712337,7,4,49,7,7
20,886139,7,4,49,1,1
20,786143,7,4,49,4,4
20,590783,7,4,49,7,9
20,606007,7,4,49,3,4
20,824737,7,4,49,8,8
20,735803,7,4,49,2,3
20,641071,7,4,49,1,2
20,664931,7,4,49,3,4
20,658661,7,4,49,2,2
20,610411,7,4,49,2,2
20,668683,7,4,49,4,8
20,744647,7,4,49,10,10
20,736451,7,4,49,7,9
20,690077,7,4,49,3,3
20,877069,7,4,49,2,2
20,530821,7,4,49,9,11
20,777083,7,4,49,13,13
20,646127,7,4,49,1,1
20,533087,7,4,49,5,5
20,525689,7,4,49,3,4
20,716957,7,4,49,5,5
20,722879,7,4,49,5,5
20,945433,7,4,49,6,6
20,701111,7,4,49,9,10
20,634801,7,4,49,5,5
20,941077,7,4,49,13,15
20,731123,7,4,49,1,1
20,668197,7,4,49,8,8
20,589397,7,4,49,10,11
20,637579,7,4,49,4,4
20,695683,7,4,49,12,13
20,707309,7,4,49,4,7
20,645797,7,4,49,6,6
20,620131,7,4,49,8,8
20,659389,7,4,49,3,3
20,652133,7,4,49,2,2
20,816721,7,4,49,6,10
20,750089,7,4,49,4,5
20,545323,7,4,49,12,12
20,760159,7,4,49,10,10
20,997517,7,4,49,4,4
20,728347,7,4,49,26,28
20,727033,7,4,49,11,12
20,1001677,7,4,49,1,1
20,954493,7,4,49,4,5
20,705917,7,4,49,7,7
20,724943,7,4,49,7,7
20,732661,7,4,49,3,3
20,531941,7,4,49,4,6
20,567311,7,4,49,8,8
20,773621,7,4,49,1,1
20,771383,7,4,49,5,8
20,818537,7,4,49,2,2
20,946651,7,4,49,2,3
20,732443,7,4,49,2,4
20,618517,7,4,49,3,3
20,529651,7,4,49,9,9
20,557983,7,4,49,12,12
20,536713,7,4,49,1,1
20,681199,7,4,49,8,8
20,594851,7,4,49,2,2
20,612701,7,4,49,4,5
20,958297,7,4,49,2,2
20,555991,7,4,49,4,5
20,594593,7,4,49,4,6
20,671521,7,4,49,2,2
20,735577,7,4,49,5,6
20,722879,7,4,49,3,3
20,627239,7,4,49,7,7
20,871921,7,4,49,2,2
20,551987,7,4,49,0,0
20,595489,7,4,49,2,4
20,818449,7,4,49,5,7
20,587663,7,4,49,10,15
20,567191,7,4,49,9,12
20,761933,7,4,49,7,7
20,660293,7,4,49,5,5
20,884893,7,4,49,2,2
20,621787,7,4,49,7,7
20,565073,7,4,49,1,1
20,685603,7,4,49,7,10
20,803527,7,4,49,9,9
20,921071,7,4,49,11,11
20,746789,7,4,49,7,7
20,798947,7,4,49,12,13
20,641939,7,4,49,8,8
20,659389,7,4,49,5,6
20,734099,7,4,49,5,5
20,731123,7,4,49,10,10
20,684781,7,4,49,4,4
20,616571,7,4,49,8,8
20,566609,7,4,49,1,2
20,949469,7,4,49,2,3
20,674459,7,4,49,1,1
20,618391,7,4,49,3,4
20,697219,7,4,49,4,4
20,546311,7,4,49,6,6
20,899777,7,4,49,4,6
20,728587,7,4,49,10,11
20,692831,7,4,49,2,2
20,559063,7,4,49,14,15
20,546311,7,4,49,5,5
20,624647,7,4,49,16,17
20,594851,7,4,49,2,2
20,712529,7,4,49,0,4
20,592771,7,4,49,9,12
20,691783,7,4,49,15,16
20,861103,7,4,49,2,3
20,597851,7,4,49,1,1
20,581593,7,4,49,5,7
20,559063,7,4,49,10,10
20,601537,7,4,49,8,9
20,902059,7,4,49,8,9
20,754729,7,4,49,5,5
20,636679,7,4,49,6,6
20,550897,7,4,49,6,6
20,545339,7,4,49,11,14
20,538243,7,4,49,12,14
20,630601,7,4,49,4,5
20,864371,7,4,49,5,7
20,934189,7,4,49,6,6
20,760973,7,4,49,9,12
20,651611,7,4,49,14,14
20,576599,7,4,49,11,12
20,539069,7,4,49,3,3
20,581543,7,4,49,1,3
20,797191,7,4,49,9,10
20,720457,7,4,49,1,1
20,777083,7,4,49,1,3
20,583201,7,4,49,3,5
20,614039,7,4,49,6,7
20,596867,7,4,49,14,14
20,700313,7,4,49,3,3
20,888929,7,4,49,2,2
20,712529,7,4,49,0,0
20,749687,7,4,49,3,3
20,607559,7,4,49,0,1
20,980051,7,4,49,3,4
20,783907,7,4,49,6,11
20,571511,7,4,49,11,11
20,614777,7,4,49,4,4
20,612211,7,4,49,1,3
20,708523,7,4,49,2,4
20,690199,7,4,49,4,4
20,670907,7,4,49,8,9
20,653483,7,4,49,5,5
20,568003,7,4,49,0,0
20,647467,7,4,49,14,14
20,545323,7,4,49,9,10
20,566003,7,4,49,10,11
20,716843,7,4,49,1,2
20,610381,7,4,49,0,0
20,756611,7,4,49,6,6
20,593039,7,4,49,3,3
20,723253,7,4,49,13,14
20,648113,7,4,49,3,4
20,601063,7,4,49,5,7
20,568861,7,4,49,3,3
20,884893,7,4,49,4,4
20,545107,7,4,49,14,17
20,888673,7,4,49,4,5
20,853751,7,4,49,1,1
20,563879,7,4,49,18,19
20,924233,7,4,49,5,5
20,878357,7,4,49,2,2
20,585223,7,4,49,3,6
20,875053,7,4,49,3,3
20,529651,7,4,49,6,6
20,592283,7,4,49,1,1
20,573037,7,4,49,7,8
20,555641,7,4,49,6,8
20,544163,7,4,49,2,2
20,702463,7,4,49,3,4
20,622001,7,4,49,8,8
