bit_length,semiprime,lattice_dimension,precision_parameter,smoothness_bound,num_lattices,num_candidates,total_sr_pairs,unique_sr_pairs,M+2_lattices,M+2_candidates,M+2_total_sr_pairs,M+2_unique_sr_pairs,time
20,665407,7,4,49,27,1390,118,51,27,1390,118,51,1.8180406093597412
20,617483,7,4,49,32,1779,137,51,32,1779,137,51,1.4231846332550049
20,564647,7,4,49,21,1217,114,53,21,1217,114,53,0.9734203815460205
20,770893,7,4,49,35,2113,182,51,35,2113,182,51,1.7871086597442627
20,932531,7,4,49,26,1318,114,51,26,1318,114,51,1.3558878898620605
30,567350767,10,4,100,25,7473,131,105,25,7473,131,105,5.396757125854492
30,651339401,10,4,100,23,7378,133,105,23,7378,133,105,5.370556116104126
30,876569143,10,4,100,34,11182,153,102,34,11182,153,102,8.185972690582275
30,837751801,10,4,100,38,11006,144,102,38,11006,144,102,8.119941473007202
30,633847283,10,4,100,38,12894,156,106,38,12894,156,106,9.600725650787354
40,611908819211,14,4,196,63,101356,219,205,63,101356,219,205,86.73296308517456
40,700258506601,14,4,196,52,80178,212,198,52,80178,212,198,108.15723633766174
40,553486480193,14,4,196,59,91405,213,198,59,91405,213,198,143.2487235069275
40,923330265881,14,4,196,58,96833,215,198,58,96833,215,198,155.31384468078613
40,561511761007,14,4,196,66,107110,214,198,66,107110,214,198,150.06661319732666
50,787664926516597,17,4,289,258,941689,317,291,258,941689,317,291,1368.3197782039642
50,692435077942679,17,4,289,227,812172,310,291,227,812172,310,291,942.9829754829407
50,626161191599389,17,4,289,228,810166,310,291,228,810166,310,291,843.1943485736847
50,915378658903853,17,4,289,257,934527,309,292,257,934527,309,292,965.191712141037
50,805799226533981,17,4,289,248,920945,318,291,248,920945,318,291,948.9375097751617
60,634442047663821359,20,4,400,1165,7272139,428,402,1165,7272139,428,402,11806.918320178986
60,650115908476947337,20,4,400,1084,6744975,426,402,1084,6744975,426,402,12906.127846002579
60,1022386930860125533,20,4,400,1262,7878093,429,402,1262,7878093,429,402,13972.607323169708
60,667642108583690621,20,4,400,1159,7270573,422,402,1159,7270573,422,402,10837.009508132935
60,603116539763274583,20,4,400,1223,7604618,418,402,1223,7604618,418,402,9776.598373651505
20,525647,7,4,49,26,1418,139,51,26,1418,139,51,2.0132503509521484
20,824023,7,4,49,39,2194,207,51,39,2194,207,51,1.7856297492980957
20,807361,7,4,49,36,1890,184,51,36,1890,184,51,1.5809190273284912
20,710113,7,4,49,48,2645,241,51,48,2645,241,51,2.148935079574585
20,713057,7,4,49,44,2277,198,51,44,2277,198,51,1.956876516342163
30,657857111,10,4,100,26,7955,138,102,26,7955,138,102,6.138035297393799
30,835457611,10,4,100,26,8820,135,102,26,8820,135,102,6.272710800170898
30,809808841,10,4,100,29,10111,140,104,29,10111,140,104,7.693193674087524
30,588024043,10,4,100,36,10924,127,102,36,10924,127,102,8.034103631973267
30,771225239,10,4,100,31,9786,131,104,31,9786,131,104,7.053629159927368
40,898473420211,14,4,196,62,103292,220,199,62,103292,220,199,91.90282082557678
40,628325160829,14,4,196,55,88236,222,201,55,88236,222,201,78.74650549888611
40,636785423441,14,4,196,64,97414,214,200,64,97414,214,200,85.99692368507385
40,862478889317,14,4,196,67,110631,217,199,67,110631,217,199,96.9269688129425
40,1077626302349,14,4,196,82,127264,225,201,82,127264,225,201,136.83565735816956
50,658425989827337,17,4,289,247,893866,317,294,247,893866,317,294,1001.5802688598633
50,748152152163809,17,4,289,218,801563,311,294,218,801563,311,294,1010.9009864330292
50,884335646483147,17,4,289,212,754609,301,291,212,754609,301,291,1508.409742116928
50,596083661952599,17,4,289,206,746153,309,292,206,746153,309,292,1485.0772721767426
50,920853380450837,17,4,289,245,890933,313,295,245,890933,313,295,1771.1675696372986
60,882419950652216467,20,4,400,1243,7799185,416,402,1243,7799185,416,402,11536.685312986374
60,835245138973122551,20,4,400,1367,8544473,427,402,1367,8544473,427,402,14825.59737086296
